[2024-11-22T14:15:30.955Z] SEA Packed dependencies already installed at "/tmp/mesh-serve_5d36f86c0c243ca398d046e36056373e12b1ce260f00e1d7749e73da7a123d17_node_modules"
[2024-11-22T14:15:30.955Z] SEA Registering packed dependencies
[2024-11-22T14:15:30.955Z] SEA Resolving built-in module "crypto"
[2024-11-22T14:15:30.962Z] SEA Resolving built-in module "cluster"
[2024-11-22T14:15:30.963Z] SEA Resolving built-in module "events"
[2024-11-22T14:15:30.963Z] SEA Resolving built-in module "child_process"
[2024-11-22T14:15:30.963Z] SEA Resolving built-in module "process"
[2024-11-22T14:15:30.963Z] SEA Resolving built-in module "fs/promises"
[2024-11-22T14:15:30.963Z] SEA Resolving built-in module "url"
[2024-11-22T14:15:30.964Z] SEA Resolving built-in module "http"
[2024-11-22T14:15:30.965Z] SEA Resolving built-in module "https"
[2024-11-22T14:15:30.965Z] SEA Resolving built-in module "util"
[2024-11-22T14:15:30.966Z] SEA Resolving packed dependency "graphql"
[2024-11-22T14:15:30.966Z] SEA Resolved to "/tmp/mesh-serve_5d36f86c0c243ca398d046e36056373e12b1ce260f00e1d7749e73da7a123d17_node_modules/graphql"
[2024-11-22T14:15:30.968Z] SEA Resolving relative path "./version.js"
[2024-11-22T14:15:30.969Z] SEA Resolving relative path "./graphql.js"
[2024-11-22T14:15:30.969Z] SEA Resolving relative path "./jsutils/devAssert.js"
[2024-11-22T14:15:30.969Z] SEA Resolving relative path "./jsutils/isPromise.js"
[2024-11-22T14:15:30.969Z] SEA Resolving relative path "./language/parser.js"
[2024-11-22T14:15:30.970Z] SEA Resolving relative path "../error/syntaxError.js"
[2024-11-22T14:15:30.970Z] SEA Resolving relative path "./GraphQLError.js"
[2024-11-22T14:15:30.971Z] SEA Resolving relative path "../jsutils/isObjectLike.js"
[2024-11-22T14:15:30.971Z] SEA Resolving relative path "../language/location.js"
[2024-11-22T14:15:30.971Z] SEA Resolving relative path "../jsutils/invariant.js"
[2024-11-22T14:15:30.971Z] SEA Resolving relative path "../language/printLocation.js"
[2024-11-22T14:15:30.971Z] SEA Resolving relative path "./location.js"
[2024-11-22T14:15:30.971Z] SEA Resolving relative path "./ast.js"
[2024-11-22T14:15:30.971Z] SEA Resolving relative path "./directiveLocation.js"
[2024-11-22T14:15:30.972Z] SEA Resolving relative path "./kinds.js"
[2024-11-22T14:15:30.972Z] SEA Resolving relative path "./lexer.js"
[2024-11-22T14:15:30.972Z] SEA Resolving relative path "../error/syntaxError.js"
[2024-11-22T14:15:30.972Z] SEA Resolving relative path "./ast.js"
[2024-11-22T14:15:30.972Z] SEA Resolving relative path "./blockString.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "./characterClasses.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "./characterClasses.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "./tokenKind.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "./source.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "../jsutils/devAssert.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "../jsutils/inspect.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "../jsutils/instanceOf.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "./inspect.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "./tokenKind.js"
[2024-11-22T14:15:30.973Z] SEA Resolving relative path "./type/validate.js"
[2024-11-22T14:15:30.974Z] SEA Resolving relative path "../jsutils/inspect.js"
[2024-11-22T14:15:30.974Z] SEA Resolving relative path "../error/GraphQLError.js"
[2024-11-22T14:15:30.974Z] SEA Resolving relative path "../language/ast.js"
[2024-11-22T14:15:30.974Z] SEA Resolving relative path "../utilities/typeComparators.js"
[2024-11-22T14:15:30.974Z] SEA Resolving relative path "../type/definition.js"
[2024-11-22T14:15:30.975Z] SEA Resolving relative path "../jsutils/devAssert.js"
[2024-11-22T14:15:30.975Z] SEA Resolving relative path "../jsutils/didYouMean.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/identityFunc.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/inspect.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/instanceOf.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/isObjectLike.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/keyMap.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/keyValMap.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/mapValue.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/suggestionList.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "./naturalCompare.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../jsutils/toObjMap.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../error/GraphQLError.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../language/kinds.js"
[2024-11-22T14:15:30.976Z] SEA Resolving relative path "../language/printer.js"
[2024-11-22T14:15:30.977Z] SEA Resolving relative path "./blockString.js"
[2024-11-22T14:15:30.977Z] SEA Resolving relative path "./printString.js"
[2024-11-22T14:15:30.977Z] SEA Resolving relative path "./visitor.js"
